iter	Passed	Remaining
0	31	31425
1	54	27127
2	83	27827
3	117	29210
4	155	30854
5	180	29883
6	205	29149
7	222	27571
8	243	26817
9	259	25649
10	273	24630
11	279	23002
12	283	21532
13	287	20279
14	292	19180
15	297	18271
16	300	17368
17	303	16558
18	307	15884
19	315	15440
20	324	15121
21	336	14954
22	344	14654
23	349	14214
24	355	13876
25	364	13658
26	370	13342727	376	130528	532	17813
29	545	17653
30	565	17689
31	587	17776
32	608	17840
33	635	18065
34	655	18062
35	675	18084
36	692	18032
37	708	17931
38	722	17794
39	730	17524
40	742	17377
41	757	17276
42	768	17103
43	790	17181
44	807	17141
45	824	17089
46	834	16918
47	847	16816
48	857	16651
49	868	16505
50	881	16395
51	888	16204
52	899	16066
53	911	15970
54	924	15886
55	938	15816
56	945	15637
57	956	15542
58	983	15684
59	996	15618
60	1009	15533
61	1018	15413
62	1030	15325
63	1039	15199
64	1049	15093
65	1062	15041
66	1074	14969
67	1089	14925
68	1104	14896
69	1115	14821
70	1127	14753
71	1137	14662
72	1151	14619
73	1163	14559
74	1171	14452
75	1193	14513
76	1206	14462
77	1220	14425
78	1228	14327
79	1237	14227
80	1253	14225
81	1264	14151
82	1277	14113
83	1283	13993
84	1296	13959
85	1308	13908
86	1333	13992
87	1347	13960
88	1364	13970
89	1377	13928
90	1389	13880
91	1410	13917
92	1423	13885
93	1436	13843
94	1450	13819
95	1459	13746
96	1477	13750
97	1487	13690
98	1517	13811
99	1541	13873
100	1556	13850
101	1574	13865
102	1588	13832
103	1618	13941
104	1636	13951
105	1643	13859
106	1651	13782
107	1667	13771
108	1679	13727
109	1689	13667
110	1698	13602
111	1707	13539
112	1725	13545
113	1738	13514
114	1751	13482
115	1763	13435
116	1779	13428
117	1791	13389
118	1800	13326
119	1802	13219
120	1806	13124
121	1813	13049
122	1825	13016
123	1835	12969
124	1849	12948
125	1859	12899
126	1870	12859
127	1881	12818
128	1894	12791
129	1907	12767
130	1916	12716
131	1932	12708
132	1949	12705
133	1961	12679
134	1971	12632
135	1991	12649
136	2012	12675
137	2030	12683
138	2045	12673
139	2048	12586
140	2073	12631
141	2092	12642
142	2112	12662
143	2129	12658
144	2140	12623
145	2155	12607
146	2167	12575
147	2174	12519
148	2180	12455
149	2206	12502
150	2227	12524
151	2240	12498
152	2253	12473
153	2275	12498
154	2292	12497
155	2311	12503
156	2329	12507
157	2339	12466
158	2350	12431
159	2365	12418
160	2377	12387
161	2389	12361
162	2404	12344
163	2411	12294
164	2430	12301
165	2439	12256
166	2463	12288
167	2473	12250
168	2482	12206
169	2496	12188
170	2518	12208
171	2523	12147
172	2527	12083
173	2538	12051
174	2545	12000
175	2565	12009
176	2571	11957
177	2575	11894
178	2591	11885
179	2602	11857
180	2622	11867
181	2633	11837
182	2653	11847
183	2663	11811
184	2678	11801
185	2691	11777
186	2701	11745
187	2705	11684
188	2708	11621
189	2716	11579
190	2721	11525
191	2727	11476
192	2732	11425
193	2734	11361
194	2738	11304
195	2742	11248
196	2755	11232
197	2758	11174
198	2766	111200	2855	11350
201	2869	11337
202	2887	11334
203	2900	11319
204	2920	11326
205	2952	11379
206	2977	11407
207	2995	11407
208	2999	11353
209	3004	11303
210	3014	11273
211	3019	11224
212	3028	11188
213	3031	11135
214	3035	11084
215	3044	11049
216	3048	11000
217	305220	3019218	306221	3033	10631
222	3047	10618
223	3066	10624
224	3089	10641
225	3105	10634
226	3110	10593
227	3122	10572
228	3126	10526
229	3140	10513
230	3153	10496
231	3161	10466
232	3164	10418
233	3176	10398
234	3184	10367
235	3192	10334
236	3197	10293
237	3203	10256
238	240	3050	9605
241	3059	9582
242	3077	9586
243	308239	3294	10431
240	33245	3103	241	3246	3118	9242	247	3133	95243248	3146	94824249	3163	9490
250	3179	9489
251	3185	9455
252	3197	9441
253	3209	9425
254	3219	9405
255	3228	9381
256	3234	9351
257	3245	9333
258	3260	9329
259	3269	9304
260	3294	9328
261	3308	9318
262	3318	9300
263	3337	9303
264	3349	9290
265	3365	9285
266	3379	9276
267	3392	9267
268	3416	9284
269	3435	9289
270	3453	9289
271	3467	9280
272	3483	9275
273	3498	9269
274	3513	9263
275	3524	9246
276	3542	9246
277	3560	9248
278	3575	9238
279	3591	9235
280	3604	9222
281	3617	9209
282	3640	9224
283	3648	9199
284	3654	9167
285	3662	9142
286	3667	9112
287	3679	9096
288	3691	9082
289	3695	9048
290	3704	9026
291	3715	9009
292	3729	8999
293	3746	8995
294	3755	8976
295	3769	8965
296	3793	8980
297	3817	8991
298	3829	8977
299	3832	8941
300	3861	8967
301	3871	8947
302	3879	8924
303	3889	8904
304	3902	8892
305	3913	8875
306	3934	8881
307	3946	8866
308	3959	8854
309	3984	8868
310	3996	8853
311	4005	8831
312	4025	8836
313	4043	8833
314	4059	8828
315	4078	8828
316	4090	8812
317	4144	8888
318	4163	8887
319	4183	8889
320	4194	8871
321	4202	8849
322	4222	8849
323	4234	8834
324	4246	8820
325	4264	8817
326	4274	8797
327	4287	8784
328	4300	8771
329	4312	8755
330	4330	8752
331	4338	8728
332	4355	8723
333	4369	8713
334	4380	8695
335	4397	8690
336	4418	8692
337	4431	8680
338	4440	8658
339	4452	8642
340	4466	8631
341	4488	8636
342	4498	8616
343	4515	8610
344	4530	8601
345	4545	8590
346	4557	8576
347	4568	8559
348	4577	8539
349	4590	8525
350	4605	8515
351	4619	8503
352	4628	8483
353	4634	8457
354	4650	8449
355	4662	8435
356	4673	8416
357	4683	8398
358	4693	8380
359	4706	8367
360	4720	8356
361	4731	8338
362	4737	8313
363	4747	8294
364	4754	8271
365	4761	8247
366	4766	8221
367	4773	8197
368	4782	8178
369	4790	8156
370	4793	8126
371	4797	8099
372	4808	8083
373	4814	8059
374	4827	8046
375	4840	8033
376	4852	8019
377	4860	7997
378	4871	7982
379	4884	7968
380	4894	7952
381	4911	7945
382	4926	7937
383	4939	7923
384	4951	7909
385	4966	7899
386	4981	7889
387	4990	7871
388	5009	7868
389	5013	7841
390	5033	7839
391	5044	7823
392	5052	7803
393	5067	7794
394	5083	7785
395	5086	7758
396	5091	7733
397	5102	7717
398	5111	7698
399	5118	7677
400	5124	7654
401	5143	7651
402	5153	7634
403	5163	7617
404	5177	7607
405	5190	7594
406	5201	7578
407	5217	7570
408	5226	7551
409	5234	7533
410	52408	5407411	52409	5428	7812
410	5431413	52411	5458	7790
412	5471	7776
413	5484	7762
414	5490	7739
415	5493	7711
416	5496	7684
417	5504	7663
418	5507	7637
419	5517	7618
420	5524	7597
421	5535	7581
422	5545	7563
423	5555426	53424	5562427	5408	7228
428	5423	7218
429	5437	7208
430	5451	7197
431	5465	7186
432	5479	7174
433	54431	5686	7476
432	5691	7452
433	5694	7426
434	5697	7399
435	5701	7374
436	5706	7351
437	5712	7329
438	5739	7334
439	5751	7320
440	5754	7294
441	5772	7288
442	5793	7284
443	5795	7257
444	5800	7233
445	5810	7217
446	5820	7200
447	5824	7176
448	5839	7165
449	5843	7142
450	5858	7131
451	5871	7118
452	5881	7101
453	5889	7082
454	5896	7062
455	5907	7047
456	5917	7031
457	5935	7023
458	5953	7016
459	5964	7001
460	5979	6991
461	5988	6973
462	5995	6953
463	6007	6940
464	6022	6928
465	6032	6912
466	6040	6894
467	6060	6888
468	6075	6878
469	6078	6854
470	6088	6838
471	6091	6813
472	6115	6813
473	6132	6805
474	6152	6800
475	6163	6784
476	6183	6779
477	6191	6761
478	6215	6760
479	6232	6751
480	6244	6737
481	6257	6725
482	6274	6716
483	6286	6701
484	6301	6691
485	6318	6682
486	6329	6667
487	6340	6652
488	6356	6642
489	6364	6624
490	6374	6608
491	6381494	62492	6393495	62493	6407496	62494	6422497	62495	6436498	6307	6332
499	6319	6319
500	6339	6313
501	6346	6295
502	6375	6299
503	6380	6278
504	6424	6297
505	6441	6289
506	6456	6278
507	6473	6269
508	6492	6262
509	6519	6263
510	6521	6240
511	6537	6231
512	6553	6221
513	6567	6210
514	6578	6195
515	6585	6177
516	6598	6164
517	6607	6148
518	6619	6134
519	6640	6130
520	6648	6112
521	6690	6126
522	6710	6119
523	6724	6108
524	6743	6101
525	6758	6090
526	6779	6084
527	6788	6068
528	6810	6064
529	6819	6047
530	6844	6045
531	6858	6033
532	6873	6022
533	6890	6013
534	6900	5997
535	6916	5987
536	6921	5967
537	6931	5952
538	6939	5935
539	6953	5923
540	6967	5911
541	6979	5897
542	6993	5885
543	7007	5873
544	7014	5855
545	7026	5842
546	7036	5826
547	7045	5811
548	7055	5795
549	7060	5776
550	7071	5762
551	7080	5746
552	7089	5730
553	7102	5717
554	7112	5703
555	7124	5689
556	7132	5672
557	7148	5662
558	7160	5648
559	7172	5635
560	7184	5622
561	7198	5610
562	7208	5595
563	7228	5587
564	7236	5571
565	7251	5560
566	7261	5545
567	7276	5534
568	7286	5519
569	7290	5499
570	7307	5489
571	7318	5475
572	7329	5461
573	7335	5443
574	7343	5427
575	7354	5413
576	7374	5406
577	7395	5399
578	7406	5385
579	7420	5373
580	7439	5365
581	7449	5350
582	7453	5330
583	7467	5319
584	7475	5303
585	7499	5298
586	7512	5285
587	7516	5266
588	7536	5258
589	7553	5248
590	7570	5239
591	7584	5227
592	7590	5209
593	7600	5194
594	7608	5178
595	7621	5166
596	7628	5149
597	7648	5141
598	7663	5130
599	7677	5118
600	7690	5105
601	7714	5100
602	7723	5084
603	7731	5068
604	7748	5059
605	7759	5044
606	7769	5030
607	7782	5017
608	7795	5005
609	7817	4998
610	7832	4986
611	7842	4972
612	7858	4961
613	7870	4947
614	7881	4933
615	7896	4922
616	7903	4905
617	7907	4887
618	7912	4870
619	7923	4856
620	7941	4846
621	7949	4831
622	7963	4819
623	7974	4805
624	7992	4795
625	7995	4777
626	8018	4770
627	8036	4760
628	8047	4746
629	8064	4736
630	8077	4723
631	8090	4710
632	8116	4705
633	8129	4693
634	8132	4674
635	8140	4659
636	8151	4645
637	8156	4628
638	8163	4611
639	8167	4594
640	8176	4579
641	8198	4571
642	8206	4556
643	8221	4545
644	8232	4531
645	8240	4515
646	8253	4503
647	8269	4491
648	8284	4480
649	8296	4467
650	8311	4455
651	8325	4443
652	8333	4428
653	8345	4415
654	8358	4402
655	8370	4389
656	8389	4379
657	8409	4370
658	8422	4358
659	8439	4347
660	8455	4336
661	8468	4323
662	8488	4314
663	8497	4299
664	8519	4291
665	8530	4277
666	8538	4262
667	8543	4246
668	8546	4228
669	8549	4210
670	8564	4199
671	8584	4189
672	8598	4178
673	8602	4160
674	8611	4146
675	8623	4133
676	8634	4119
677	8644	4105
678	8658	4093
679	8667	4078
680	8677	4064
681	8682	4048
682	8685	4031
683	8691	4015
684	8700	4000
685	8714	3988
686	8727	3976
687	8741	3963
688	8751	3950
689	8757	3934
690	8766	3920
691	8785	3910
692	8796	3896
693	8805	3882
694	8818	3870
695	8832	3857
696	8845	3845
697	8849	3828
698	8857	3814
699	8870	3801
700	8875	3785
701	8888	3772
702	8890	3756
703	8895	3740
704	8906	3726
705	8916	3713
706	8926	3699
707	8940	3687
708	8950	3673
709	8958	3658
710	8969	3645
711	8976	3630
712	8986	3617
713	8988	3600
714	8995	3585
715	9008	3573
716	9017	3559
717	9030	3546
718	9036	3531
719	9054	3521
720	9068	3509
721	9075	3494
722	9088	3482
723	9097	3468
724	9108	3455
725	9118	3441
726	9124	3426
727	9134	3412
728	9140	3397
729	9148	3383
730	9154	3368
731	9162	3354
732	9169	3339
733	9176	3325
734	9188	3312
735	9204	3301
736	9211	3287
737	9225	3275
738	9232	3260
739	9243	3247
740	9255	3235
741	9264	3221
742	9276	3208
743	9286	3195
744	9303	3184
745	9313	3171
746	9324	3158
747	9337	3145
748	9350	3133
749	9359	3119
750	9366	3105
751	9374	3091
752	9385	3078
753	9399	3066
754	9413	3054
755	9423	3041
756	9444	3031
757	9465	3021
758	9486	3012
759	9497	2999
760	9510	2986
761	9521	2973
762	9535	2961
763	9549	2949
764	9566	2938
765	9576	2925
766	9596	2915
767	9613	2904
768	9622	2890
769	9634	2877
770	9644	2864
771	9653	2851
772	9665	2838
773	9683	2827
774	9695	2814
775	9703	2801
776	9717	2788
777	9730	2776
778	9739	2763
779	9751	2750
780	9765	2738
781	9787	2728
782	9796	2715
783	9817	2704
784	9828	2691
785	9845	2680
786	9863	2669
787	9876	2657
788	9885	2643
789	9897	2631
790	9905	2617
791	9914	2603
792	9924	2590
793	9935	2577
794	9948	2565
795	9958	2552
796	9966	2538
797	9989	2528
798	10007	2517
799	10023	2505
800	10040	2494
801	10059	2483
802	10074	2471
803	10087	2459
804	10096	2445
805	10153	2443
806	10168	2431
807	10180	2419
808	10188	2405
809	10202	2393
810	10216	2380
811	10228	2368
812	10238	2355
813	10242	2340
814	10261	2329
815	10273	2316
816	10286	2304
817	10295	2290
818	10310	2278
819	10322	2265
820	10333	2252
821	10347	2240
822	10355	2227
823	10372	2215
824	10391	2204
825	10403	2191
826	10413	2178
827	10431	2166
828	10440	2153
829	10445	2139
830	10453	2125
831	10463	2112
832	10474	2099
833	10485	2086
834	10492	2073
835	10501	2060
836	10513	2047
837	10518	2033
838	10533	2021
839	10554	2010
840	10564	1997
841	10567	1982
842	10590	1972
843	10602	1959
844	10622	1948
845	10639	1936
846	10658	1925
847	10673	1913
848	10683	1900
849	10691	1886
850	10699	1873
851	10707	1859
852	10783	1858
853	10801	1846
854	10817	1834
855	10839	1823
856	10851	1810
857	10867	1798
858	10884	1786
859	10891	1773
860	10899	1759
861	10907	1746
862	10958	1739
863	10974	1727
864	10987	1714
865	11006	1703
866	11011	1689
867	11020	1675
868	11023	1661
869	11026	1647
870	11031	1633
871	11038	1620
872	11050	1607
873	11062	1594
874	11076	1582
875	11089	1569
876	11103	1557
877	11118	1544
878	11133	1532
879	11143	1519
880	11154	1506
881	11164	1493
882	11175	1480
883	11184	1467
884	11192	1454
885	11196	1440
886	11203	1427
887	11207	1413
888	11212	1399
889	11217	1386
890	11221	1372
891	11224	1358
892	11229	1345
893	11237	1332
894	11240	1318
895	11255	1306
896	11268	1293
897	11278	1281
898	11287	1268
899	11297	1255
900	11302	1241
901	11313	1229
902	11324	1216
903	11339	1204
904	11348	1191
905	11356	1178
906	11367	1165
907	11374	1152
908	11380	1139
909	11392	1126
910	11409	1114
911	11419	1101
912	11431	1089
913	11441	1076
914	11447	1063
915	11456	1050
916	11470	1038
917	11483	1025
918	11495	1013
919	11502	1000
920	11516	987
921	11527	975
922	11529	961
923	11532	948
924	11535	935
925	11536	921
926	11539	908
927	11541	895
928	11544	882
929	11547	869
930	11549	856
931	11553	842
932	11557	829
933	11559	816
934	11562	803
935	11565	790
936	11580	778
937	11585	765
938	11594	753
939	11600	740
940	11602	727
941	11608	714
942	11611	701
943	11615	689
944	11634	677
945	11637	664
946	11640	651
947	11643	638
948	11646	625
949	11649	613
950	11652	600
951	11656	587
952	11659	575
953	11662	562
954	11665	549
955	11668	537
956	11671	524
957	11675	511
958	11682	499
959	11688	487
960	11694	474
961	11703	462
962	11710	449
963	11714	437
964	11728	425
965	11731	412
966	11737	400
967	11744	388
968	11748	375
969	11753	363
970	11759	351
971	11763	338
972	11768	326
973	11774	314
974	11778	302
975	11782	289
976	11786	277
977	11791	265
978	11796	253
979	11801	240
980	11805	228
981	11808	216
982	11810	204
983	11812	192
984	11813	179
985	11814	167
986	11816	155
987	11817	143
988	11819	131
989	11820	119
990	11821	107
991	11823	95
992	11824	83
993	11826	71
994	11827	59
995	11829	47
996	11831	35
997	11832	23
998	11834	11
999	11835	0

999	11968	0

